SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
MSTCLTD,EQ,474,491.7,467,483.4,483.7,471.9,291382,140717826.80,03-Sep-2025,11891,INE255X01014
MTEDUCARE,BE,2.02,2.12,1.94,2.12,2.12,2.02,3730,7389.12,03-Sep-2025,10,INE472M01018
MTARTECH,EQ,1439.9,1460,1436.6,1453.8,1456.1,1439.4,55058,79894641.50,03-Sep-2025,7920,INE864I01014
MUFIN,EQ,86.27,87.25,86,86.27,86,86.33,105653,9138596.64,03-Sep-2025,921,INE08KJ01020
MUKANDLTD,EQ,133.09,137.85,133.09,136.67,136.88,133.79,199019,27076829.61,03-Sep-2025,3196,INE304A01026
MUKKA,EQ,27.94,28.11,27.5,27.81,27.71,27.87,186725,5179848.32,03-Sep-2025,1863,INE0CG401037
MUKTAARTS,EQ,68.93,70.39,68.01,68.95,69,69.27,14283,982911.69,03-Sep-2025,198,INE374B01019
MCX,EQ,7693.5,7720,7528,7707.5,7705,7645.5,429971,3287842537.50,03-Sep-2025,51454,INE745G01035
MUNJALAU,EQ,88.3,91.49,88.3,89.44,89.68,88.7,284688,25587186.52,03-Sep-2025,4571,INE672B01032
MUNJALSHOW,EQ,140.74,141.9,139.05,140.39,140.99,140.35,30973,4357433.13,03-Sep-2025,858,INE577A01027
MURUDCERA,EQ,43.95,43.95,42.8,42.92,42.98,43.17,12793,551874.34,03-Sep-2025,389,INE692B01014
RADIOCITY,EQ,8.74,8.74,8.46,8.59,8.64,8.64,59913,512903.81,03-Sep-2025,338,INE919I01024
RADIOCITY,P1,112.35,115,112.35,115,115,114.05,1640,188060.35,03-Sep-2025,11,INE919I04010
MUTHOOTCAP,EQ,278.95,278.95,275.5,277.25,277.7,278,24738,6864159.35,03-Sep-2025,489,INE296G01013
MUTHOOTFIN,EQ,2709.5,2800,2709.5,2783.6,2795,2698.7,1097610,3037090645.60,03-Sep-2025,72907,INE414G01012
MUTHOOTMF,EQ,162.9,172,160.5,168.11,168.35,160.32,566397,95038963.53,03-Sep-2025,13037,INE046W01019
MYMUDRA,SM,72,72,70.1,70.1,70.1,70,3600,256320.00,03-Sep-2025,3,INE0RVQ01016
