SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
524590,"HEMO ORGANIC LIMITED",X,STK,11.84,11.84,10.79,10.79,10.79,10.78,25,4732,52152,
524592,"JAYSYNTH ORGOCHEM LIMITED",X,STK,20.05,20.05,18.83,19.29,19.29,20.12,160,38727,749282,
524594,"Aeonx Digital Technology Limit",X,STK,212.8,225,199,222.75,220.05,213,102,17583,3855489,
524598,"AKSHARCHEM (INDIA) LTD.",B,STK,279,279,259.35,272.55,272,254.55,343,3908,1042581,
524602,"BANDARAM PHARMA PACKTECH LIMIT",X,STK,33,35.98,32.5,35.7,35.98,31.91,95,7316,251069,
524606,"BERYL DRUGS LTD.",X,STK,25.5,25.99,23.02,24.1,24.07,25.06,75,8328,203755,
524614,"IEL LIMITED",X,STK,5.99,6.09,5.7,5.8,5.82,5.63,666,1440494,8608481,
524622,"ISTREET NETWORK LIMITED",XT,STK,20.8,20.8,20.8,20.8,20.8,21.22,165,227977,4741921,
524624,"GAGAN GASES LTD.",XT,STK,23.5,23.5,23.49,23.49,23.49,23,25,1025,24085,
524628,"PARKER AGROCHEM EXPORTS LTD.",X,STK,19.81,19.81,19.81,19.81,19.81,18.87,12,25192,499053,
524632,"Shukra Pharmaceuticals Limited",XT,STK,27.81,27.81,27.81,27.81,27.81,27.27,297,289079,8039286,
524634,"ALUFLUORIDE LTD.",X,STK,449,457.2,436,440.25,440.25,449.95,329,9824,4345652,
524636,"OXYGENTA PHARMACEUTICAL LIMITE",XT,STK,71.4,73.95,71.4,71.7,71.65,71.93,46,11308,815740,
524640,"ARCHIT ORGANOSYS LTD.",X,STK,45.85,45.85,43.51,43.95,43.71,44.95,69,12584,562087,
524642,"SIKOZY REALTORS LIMITED",X,STK,1.01,1.03,0.95,0.96,0.96,0.99,29,8266,8049,
524648,"INDO AMINES LTD.",B,STK,146.85,148.95,146,147.15,146.85,146.25,223,6953,1024043,
524654,"NATURAL CAPSULES LTD.",B,STK,220.75,220.75,204,204.65,204.65,204.15,113,2457,509449,
524661,"WELCURE DRUGS & PHARMACEUTICAL",XT,STK,8.61,9.22,8.4,9.22,9.22,8.79,3442,2839629,25754143,
524663,"BHARAT IMMUNOLOGICALS & BIOLOG",B,STK,21.4,22.99,21.4,22.89,22.89,21.96,253,121770,2764203,
524667,"SAVITA OIL TECHNOLOGIES LTD.",B,STK,396.05,417.9,396.05,406.2,406.2,412.25,178,1297,532214,
524669,"HESTER BIOSCIENCES LTD.",B,STK,2064,2073.2,2033.45,2048.35,2048.35,2069.55,35,174,357586,
524675,"KABSONS INDUSTRIES LTD.",X,STK,20.42,20.42,18.5,19.66,19.57,20.42,60,4912,95862,
524687,"BASANT AGRO TECH (INDIA) LTD.",X,STK,14.21,15.15,14.21,14.91,14.91,14.67,222,29704,442644,
524703,"SANDU PHARMACEUTICALS LTD.",X,STK,48.96,49,48,48.01,48.01,48,49,3516,170356,
524709,"NACL Industries Limited",T,STK,281.55,284,272.35,276.45,276.95,281.55,373,20068,5542586,
524711,"VISTA PHARMACEUTICALS LTD.",X,STK,9.77,10.17,9.77,10.16,10.16,9.97,19,723,7180,
524715,"SUN PHARMACEUTICAL INDUSTRIES",A,STK,1569.6,1580.8,1558.7,1579.6,1579.6,1564.55,1968,23589,37079042,
524717,"TITAN BIOTECH LTD.",XT,STK,672.95,707,652,704.05,704.05,680.15,548,13951,9693780,
524723,"BIJOY HANS LTD.",X,STK,25.35,25.35,25.35,25.35,25.35,24.15,1,2000,50700,
524727,"Span Divergent Limited",X,STK,22.42,22.42,22.31,22.31,22.31,22.31,2,42,937,
524731,"JENBURKT PHARMACEUTICALS LTD.",X,STK,1142.6,1190,1122.1,1188.25,1187.95,1152.6,123,937,1088298,
524735,"HIKAL LTD.",B,STK,269.65,271.55,266.4,268,267.7,269.1,504,9735,2612730,
524742,"CAPLIN POINT LABORATORIES LTD.",A,STK,2139.95,2187.9,2111.15,2160.1,2166.55,2129.3,1676,11280,24346458,
524743,"FISCHER MEDICAL VENTURES LIMIT",B,STK,1078.95,1098,1062.65,1079.65,1067.55,1065.7,347,3445,3724399,
524748,"LINK PHARMA CHEM LTD.",X,STK,34.1,36.38,34.1,35.33,35,34,29,2223,78866,
524752,"DECIPHER LABS LIMITED",X,STK,10.5,10.77,10.3,10.55,10.55,10.6,43,2954,31230,
524768,"EMMESSAR BIOTECH & NUTRITION L",X,STK,26.9,27.69,26.51,26.69,26.69,26.76,34,1764,47684,
524774,"NGL FINE-CHEM LTD.",B,STK,1469.4,1485.2,1420.05,1431.65,1474.6,1450.95,24,109,156601,
524790,"EVEREST ORGANICS LTD.",XT,STK,389.95,389.95,380,385,385,385,22,21125,8232139,
524804,"AUROBINDO PHARMA LTD.",A,STK,1021.45,1041,1020,1035.05,1036.85,1021.4,2588,1007137,1028105478,
524808,"PHYTO CHEM (INDIA) LTD.",X,STK,29.89,29.89,27.15,27.23,28.86,27.56,19,1236,34697,
524816,"NATCO PHARMA LTD.",A,STK,866.25,878.25,856.1,872.8,876,865.75,3549,49198,42573959,
